success,rt,trial_type,trial_index,plugin_version,time_elapsed,random_id,participant,participant_gender,stimulus,response,timeout,failed_images,failed_audio,failed_video,figure,difficulty,response_time_seconds,text_response,word_count,response_index,question_order,file_name
NA,42605,survey-text,10,2.0.0,550167,p09z5qk6x27,NA,NA,NA,"{""image_description"":""looks like a dorito with a part taken out of it, like it was almost a triangle but had a part removed""}",NA,NA,NA,NA,stimuli/26.jpg,easy,NA,"looks like a dorito with a part taken out of it, like it was almost a triangle but had a part removed",22,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_verbal_complexity/analysis/../data/raw_data/p09z5qk6x27_1772155536316.csv
NA,40897,survey-text,11,2.0.0,591070,p09z5qk6x27,NA,NA,NA,"{""image_description"":""sharp and uneven, has some clean 90 degree angles at the bottom middle ""}",NA,NA,NA,NA,stimuli/106.jpg,medium,NA,"sharp and uneven, has some clean 90 degree angles at the bottom middle",13,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_verbal_complexity/analysis/../data/raw_data/p09z5qk6x27_1772155536316.csv
NA,47175,survey-text,12,2.0.0,638250,p09z5qk6x27,NA,NA,NA,"{""image_description"":""skinny at the bottom and has a broad part at the top, overall flat edges""}",NA,NA,NA,NA,stimuli/42.jpg,easy,NA,"skinny at the bottom and has a broad part at the top, overall flat edges",15,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_verbal_complexity/analysis/../data/raw_data/p09z5qk6x27_1772155536316.csv
NA,58733,survey-text,13,2.0.0,696988,p09z5qk6x27,NA,NA,NA,"{""image_description"":""kind of looks like an anvil if you look at it sideways""}",NA,NA,NA,NA,stimuli/98.jpg,medium,NA,kind of looks like an anvil if you look at it sideways,12,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_verbal_complexity/analysis/../data/raw_data/p09z5qk6x27_1772155536316.csv
NA,30278,survey-text,14,2.0.0,727271,p09z5qk6x27,NA,NA,NA,"{""image_description"":""3 mostly flat edges, with inward spikes at the top""}",NA,NA,NA,NA,stimuli/34.jpg,easy,NA,"3 mostly flat edges, with inward spikes at the top",10,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_verbal_complexity/analysis/../data/raw_data/p09z5qk6x27_1772155536316.csv
NA,73944,survey-text,15,2.0.0,801221,p09z5qk6x27,NA,NA,NA,"{""image_description"":""looks like an L flipped and if it was sharp""}",NA,NA,NA,NA,stimuli/154.jpg,hard,NA,looks like an L flipped and if it was sharp,10,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_verbal_complexity/analysis/../data/raw_data/p09z5qk6x27_1772155536316.csv
NA,58776,survey-text,16,2.0.0,860001,p09z5qk6x27,NA,NA,NA,"{""image_description"":""uneven and jagged, lots of inward folding, making it has a large perimeter""}",NA,NA,NA,NA,stimuli/146.jpg,hard,NA,"uneven and jagged, lots of inward folding, making it has a large perimeter",13,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_verbal_complexity/analysis/../data/raw_data/p09z5qk6x27_1772155536316.csv
NA,18631,survey-text,17,2.0.0,878638,p09z5qk6x27,NA,NA,NA,"{""image_description"":""looks like a kite\n""}",NA,NA,NA,NA,stimuli/18.jpg,easy,NA,"looks like a kite
",4,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_verbal_complexity/analysis/../data/raw_data/p09z5qk6x27_1772155536316.csv
NA,11511,survey-text,18,2.0.0,890154,p09z5qk6x27,NA,NA,NA,"{""image_description"":""sharp dorito""}",NA,NA,NA,NA,stimuli/2.jpg,easy,NA,sharp dorito,2,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_verbal_complexity/analysis/../data/raw_data/p09z5qk6x27_1772155536316.csv
NA,99157,survey-text,19,2.0.0,989316,p09z5qk6x27,NA,NA,NA,"{""image_description"":""uneven and jagged, uneven and asymetrical""}",NA,NA,NA,NA,stimuli/130.jpg,hard,NA,"uneven and jagged, uneven and asymetrical",6,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_verbal_complexity/analysis/../data/raw_data/p09z5qk6x27_1772155536316.csv
NA,70831,survey-text,20,2.0.0,1060152,p09z5qk6x27,NA,NA,NA,"{""image_description"":""gives me massachusetts vibes""}",NA,NA,NA,NA,stimuli/50.jpg,easy,NA,gives me massachusetts vibes,4,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_verbal_complexity/analysis/../data/raw_data/p09z5qk6x27_1772155536316.csv
NA,134194,survey-text,21,2.0.0,1194352,p09z5qk6x27,NA,NA,NA,"{""image_description"":""one side is flat with spikes sticking out and the other sides are almost making a pyramid but ones dented\n""}",NA,NA,NA,NA,stimuli/74.jpg,medium,NA,"one side is flat with spikes sticking out and the other sides are almost making a pyramid but ones dented
",20,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_verbal_complexity/analysis/../data/raw_data/p09z5qk6x27_1772155536316.csv
NA,37575,survey-text,22,2.0.0,1231932,p09z5qk6x27,NA,NA,NA,"{""image_description"":""the right and top side look serated, the bottom left is flat""}",NA,NA,NA,NA,stimuli/138.jpg,hard,NA,"the right and top side look serated, the bottom left is flat",12,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_verbal_complexity/analysis/../data/raw_data/p09z5qk6x27_1772155536316.csv
NA,34696,survey-text,23,2.0.0,1266632,p09z5qk6x27,NA,NA,NA,"{""image_description"":""flat and 90 degrees on top right, the others sides are uneven and jagged\n""}",NA,NA,NA,NA,stimuli/90.jpg,medium,NA,"flat and 90 degrees on top right, the others sides are uneven and jagged
",14,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_verbal_complexity/analysis/../data/raw_data/p09z5qk6x27_1772155536316.csv
NA,8062,survey-text,24,2.0.0,1274697,p09z5qk6x27,NA,NA,NA,"{""participant_major"":""Cognitive Behavioral Neuroscience""}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_verbal_complexity/analysis/../data/raw_data/p09z5qk6x27_1772155536316.csv
NA,2481,survey-multi-choice,25,2.2.0,1277180,p09z5qk6x27,NA,NA,NA,"{""participant_gender"":""Male""}",NA,NA,NA,NA,NA,NA,NA,NA,NA,[1],[0],/Users/martincz/GitHub/COGS119/group_wi26_verbal_complexity/analysis/../data/raw_data/p09z5qk6x27_1772155536316.csv
TRUE,1598,fullscreen,0,null,2602,p0dapobkyam,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_verbal_complexity/analysis/../data/raw_data/p0dapobkyam_1772139826984.csv
NA,17301,html-keyboard-response,1,2.0.0,19907,p0dapobkyam,NA,NA,"
    <div>
      <p>Welcome to our experiment!</p>
      <p>In each trial, you will see a shape. Describe the shape as accurately as you can in the provided textbox.</p>
      <p>Your description can be as long or as short as you’d like, from just a few words up to a whole paragraph if you feel that is necessary.</p>
      <p></p>
      <p>The next page will ask for participant ID.</p>
      <p></p>
      <p>After all the trials have been completed, the last page will ask for some demographic information.</p>
      <p></p>
      <p>Once you are ready to start, click any button.</p>
    </div>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_verbal_complexity/analysis/../data/raw_data/p0dapobkyam_1772139826984.csv
NA,5084,survey-text,2,2.0.0,24997,p0dapobkyam,NA,NA,NA,"{""participant_id"":""dolphin""}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_verbal_complexity/analysis/../data/raw_data/p0dapobkyam_1772139826984.csv
TRUE,NA,preload,3,2.0.0,25208,p0dapobkyam,NA,NA,NA,NA,FALSE,[],[],[],NA,NA,NA,NA,NA,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_verbal_complexity/analysis/../data/raw_data/p0dapobkyam_1772139826984.csv
NA,8523,survey-text,4,2.0.0,33750,p0dapobkyam,NA,NA,NA,"{""image_description"":""rhombus ""}",NA,NA,NA,NA,stimuli/8.jpg,easy,NA,rhombus,1,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_verbal_complexity/analysis/../data/raw_data/p0dapobkyam_1772139826984.csv
NA,10431,survey-text,5,2.0.0,44191,p0dapobkyam,NA,NA,NA,"{""image_description"":""not a shape \n""}",NA,NA,NA,NA,stimuli/152.jpg,hard,NA,"not a shape 
",3,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_verbal_complexity/analysis/../data/raw_data/p0dapobkyam_1772139826984.csv
NA,11657,survey-text,6,2.0.0,55856,p0dapobkyam,NA,NA,NA,"{""image_description"":""triangle\n""}",NA,NA,NA,NA,stimuli/16.jpg,easy,NA,"triangle
",1,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_verbal_complexity/analysis/../data/raw_data/p0dapobkyam_1772139826984.csv
NA,19743,survey-text,7,2.0.0,75608,p0dapobkyam,NA,NA,NA,"{""image_description"":""not a shape\n""}",NA,NA,NA,NA,stimuli/72.jpg,medium,NA,"not a shape
",3,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_verbal_complexity/analysis/../data/raw_data/p0dapobkyam_1772139826984.csv
NA,12357,survey-text,8,2.0.0,87973,p0dapobkyam,NA,NA,NA,"{""image_description"":""hexagon""}",NA,NA,NA,NA,stimuli/24.jpg,easy,NA,hexagon,1,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_verbal_complexity/analysis/../data/raw_data/p0dapobkyam_1772139826984.csv
NA,18540,survey-text,9,2.0.0,106521,p0dapobkyam,NA,NA,NA,"{""image_description"":""not a shape""}",NA,NA,NA,NA,stimuli/120.jpg,hard,NA,not a shape,3,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_verbal_complexity/analysis/../data/raw_data/p0dapobkyam_1772139826984.csv
NA,5794,survey-text,10,2.0.0,112324,p0dapobkyam,NA,NA,NA,"{""image_description"":""not a shape""}",NA,NA,NA,NA,stimuli/64.jpg,medium,NA,not a shape,3,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_verbal_complexity/analysis/../data/raw_data/p0dapobkyam_1772139826984.csv
NA,11556,survey-text,11,2.0.0,123888,p0dapobkyam,NA,NA,NA,"{""image_description"":""lightning bolt""}",NA,NA,NA,NA,stimuli/80.jpg,medium,NA,lightning bolt,2,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_verbal_complexity/analysis/../data/raw_data/p0dapobkyam_1772139826984.csv
NA,11543,survey-text,12,2.0.0,135441,p0dapobkyam,NA,NA,NA,"{""image_description"":""star""}",NA,NA,NA,NA,stimuli/144.jpg,hard,NA,star,1,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_verbal_complexity/analysis/../data/raw_data/p0dapobkyam_1772139826984.csv
NA,13424,survey-text,13,2.0.0,148874,p0dapobkyam,NA,NA,NA,"{""image_description"":""not a shape\n""}",NA,NA,NA,NA,stimuli/104.jpg,medium,NA,"not a shape
",3,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_verbal_complexity/analysis/../data/raw_data/p0dapobkyam_1772139826984.csv
NA,8322,survey-text,14,2.0.0,157203,p0dapobkyam,NA,NA,NA,"{""image_description"":""rectangle""}",NA,NA,NA,NA,stimuli/48.jpg,easy,NA,rectangle,1,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_verbal_complexity/analysis/../data/raw_data/p0dapobkyam_1772139826984.csv
NA,6744,survey-text,15,2.0.0,163954,p0dapobkyam,NA,NA,NA,"{""image_description"":""not a shape\n""}",NA,NA,NA,NA,stimuli/112.jpg,hard,NA,"not a shape
",3,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_verbal_complexity/analysis/../data/raw_data/p0dapobkyam_1772139826984.csv
NA,22028,survey-text,16,2.0.0,185989,p0dapobkyam,NA,NA,NA,"{""image_description"":""triangles and rectangles""}",NA,NA,NA,NA,stimuli/88.jpg,medium,NA,triangles and rectangles,3,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_verbal_complexity/analysis/../data/raw_data/p0dapobkyam_1772139826984.csv
NA,17593,survey-text,17,2.0.0,203591,p0dapobkyam,NA,NA,NA,"{""image_description"":""squares and triangles\n""}",NA,NA,NA,NA,stimuli/40.jpg,easy,NA,"squares and triangles
",3,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_verbal_complexity/analysis/../data/raw_data/p0dapobkyam_1772139826984.csv
NA,7406,survey-text,18,2.0.0,211005,p0dapobkyam,NA,NA,NA,"{""image_description"":""dragon shape""}",NA,NA,NA,NA,stimuli/136.jpg,hard,NA,dragon shape,2,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_verbal_complexity/analysis/../data/raw_data/p0dapobkyam_1772139826984.csv
NA,14210,survey-text,19,2.0.0,225222,p0dapobkyam,NA,NA,NA,"{""image_description"":""square""}",NA,NA,NA,NA,stimuli/56.jpg,medium,NA,square,1,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_verbal_complexity/analysis/../data/raw_data/p0dapobkyam_1772139826984.csv
NA,45159,survey-text,20,2.0.0,270387,p0dapobkyam,NA,NA,NA,"{""image_description"":""butterfly""}",NA,NA,NA,NA,stimuli/160.jpg,hard,NA,butterfly,1,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_verbal_complexity/analysis/../data/raw_data/p0dapobkyam_1772139826984.csv
NA,13144,survey-text,21,2.0.0,283541,p0dapobkyam,NA,NA,NA,"{""image_description"":""looks like a bird\n""}",NA,NA,NA,NA,stimuli/128.jpg,hard,NA,"looks like a bird
",4,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_verbal_complexity/analysis/../data/raw_data/p0dapobkyam_1772139826984.csv
NA,20840,survey-text,22,2.0.0,304389,p0dapobkyam,NA,NA,NA,"{""image_description"":""a mix of triangles and squares\n""}",NA,NA,NA,NA,stimuli/96.jpg,medium,NA,"a mix of triangles and squares
",6,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_verbal_complexity/analysis/../data/raw_data/p0dapobkyam_1772139826984.csv
NA,8092,survey-text,23,2.0.0,312492,p0dapobkyam,NA,NA,NA,"{""image_description"":""paper plane""}",NA,NA,NA,NA,stimuli/32.jpg,easy,NA,paper plane,2,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_verbal_complexity/analysis/../data/raw_data/p0dapobkyam_1772139826984.csv
NA,16138,survey-text,24,2.0.0,328632,p0dapobkyam,NA,NA,NA,"{""participant_major"":""Cognitive and Behavioral Neuroscience""}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_verbal_complexity/analysis/../data/raw_data/p0dapobkyam_1772139826984.csv
NA,2266,survey-multi-choice,25,2.2.0,330901,p0dapobkyam,NA,NA,NA,"{""participant_gender"":""Female""}",NA,NA,NA,NA,NA,NA,NA,NA,NA,[0],[0],/Users/martincz/GitHub/COGS119/group_wi26_verbal_complexity/analysis/../data/raw_data/p0dapobkyam_1772139826984.csv
TRUE,1669,fullscreen,0,null,2683,p0ncqkt89ht,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_verbal_complexity/analysis/../data/raw_data/p0ncqkt89ht_1772138743276.csv
NA,18888,html-keyboard-response,1,2.0.0,21574,p0ncqkt89ht,NA,NA,"
    <div>
      <p>Welcome to our experiment!</p>
      <p>In each trial, you will see a shape. Describe the shape as accurately as you can in the provided textbox.</p>
      <p>Your description can be as long or as short as you’d like, from just a few words up to a whole paragraph if you feel that is necessary.</p>
      <p></p>
      <p>The next page will ask for participant ID.</p>
      <p></p>
      <p>After all the trials have been completed, the last page will ask for some demographic information.</p>
      <p></p>
      <p>Once you are ready to start, click any button.</p>
    </div>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_verbal_complexity/analysis/../data/raw_data/p0ncqkt89ht_1772138743276.csv
NA,1946,survey-text,2,2.0.0,23526,p0ncqkt89ht,NA,NA,NA,"{""participant_id"":""elk""}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_verbal_complexity/analysis/../data/raw_data/p0ncqkt89ht_1772138743276.csv
TRUE,NA,preload,3,2.0.0,23725,p0ncqkt89ht,NA,NA,NA,NA,FALSE,[],[],[],NA,NA,NA,NA,NA,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_verbal_complexity/analysis/../data/raw_data/p0ncqkt89ht_1772138743276.csv
NA,18985,survey-text,4,2.0.0,42746,p0ncqkt89ht,NA,NA,NA,"{""image_description"":""5 sides, shaped like a triangle""}",NA,NA,NA,NA,stimuli/17.jpg,easy,NA,"5 sides, shaped like a triangle",6,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_verbal_complexity/analysis/../data/raw_data/p0ncqkt89ht_1772138743276.csv
NA,17348,survey-text,5,2.0.0,60120,p0ncqkt89ht,NA,NA,NA,"{""image_description"":""looks like a leaf, lots of sides, polygon\n""}",NA,NA,NA,NA,stimuli/129.jpg,hard,NA,"looks like a leaf, lots of sides, polygon
",8,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_verbal_complexity/analysis/../data/raw_data/p0ncqkt89ht_1772138743276.csv
NA,56419,survey-text,6,2.0.0,116564,p0ncqkt89ht,NA,NA,NA,"{""image_description"":""looks like shoe, 11 sides\n""}",NA,NA,NA,NA,stimuli/41.jpg,easy,NA,"looks like shoe, 11 sides
",5,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_verbal_complexity/analysis/../data/raw_data/p0ncqkt89ht_1772138743276.csv
NA,25303,survey-text,7,2.0.0,141893,p0ncqkt89ht,NA,NA,NA,"{""image_description"":""looks like a paper crane\n""}",NA,NA,NA,NA,stimuli/73.jpg,medium,NA,"looks like a paper crane
",5,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_verbal_complexity/analysis/../data/raw_data/p0ncqkt89ht_1772138743276.csv
NA,12959,survey-text,8,2.0.0,154873,p0ncqkt89ht,NA,NA,NA,"{""image_description"":""looks like a dragon, lots of sides, some pointy edges\n""}",NA,NA,NA,NA,stimuli/137.jpg,hard,NA,"looks like a dragon, lots of sides, some pointy edges
",10,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_verbal_complexity/analysis/../data/raw_data/p0ncqkt89ht_1772138743276.csv
NA,21436,survey-text,9,2.0.0,176330,p0ncqkt89ht,NA,NA,NA,"{""image_description"":""lots of pointy edges, lots of sides""}",NA,NA,NA,NA,stimuli/153.jpg,hard,NA,"lots of pointy edges, lots of sides",7,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_verbal_complexity/analysis/../data/raw_data/p0ncqkt89ht_1772138743276.csv
NA,27079,survey-text,10,2.0.0,203428,p0ncqkt89ht,NA,NA,NA,"{""image_description"":""16 sides, 7 pointy edges\n""}",NA,NA,NA,NA,stimuli/89.jpg,medium,NA,"16 sides, 7 pointy edges
",5,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_verbal_complexity/analysis/../data/raw_data/p0ncqkt89ht_1772138743276.csv
NA,38361,survey-text,11,2.0.0,241806,p0ncqkt89ht,NA,NA,NA,"{""image_description"":""lots of edges, ""}",NA,NA,NA,NA,stimuli/121.jpg,hard,NA,"lots of edges,",3,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_verbal_complexity/analysis/../data/raw_data/p0ncqkt89ht_1772138743276.csv
NA,31758,survey-text,12,2.0.0,273581,p0ncqkt89ht,NA,NA,NA,"{""image_description"":""3 triangles, at least 2 squares""}",NA,NA,NA,NA,stimuli/105.jpg,medium,NA,"3 triangles, at least 2 squares",6,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_verbal_complexity/analysis/../data/raw_data/p0ncqkt89ht_1772138743276.csv
NA,8665,survey-text,13,2.0.0,282266,p0ncqkt89ht,NA,NA,NA,"{""image_description"":""triangle, 3 sides, 3 angles""}",NA,NA,NA,NA,stimuli/1.jpg,easy,NA,"triangle, 3 sides, 3 angles",5,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_verbal_complexity/analysis/../data/raw_data/p0ncqkt89ht_1772138743276.csv
NA,43115,survey-text,14,2.0.0,325406,p0ncqkt89ht,NA,NA,NA,"{""image_description"":""lots of edges, two triangles, trapezoids and squares ""}",NA,NA,NA,NA,stimuli/97.jpg,medium,NA,"lots of edges, two triangles, trapezoids and squares",8,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_verbal_complexity/analysis/../data/raw_data/p0ncqkt89ht_1772138743276.csv
NA,29409,survey-text,15,2.0.0,354833,p0ncqkt89ht,NA,NA,NA,"{""image_description"":""1 triangel, 3 squares ""}",NA,NA,NA,NA,stimuli/25.jpg,easy,NA,"1 triangel, 3 squares",4,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_verbal_complexity/analysis/../data/raw_data/p0ncqkt89ht_1772138743276.csv
NA,14622,survey-text,16,2.0.0,369473,p0ncqkt89ht,NA,NA,NA,"{""image_description"":""rectangle, 4 sides, 4 angles""}",NA,NA,NA,NA,stimuli/9.jpg,easy,NA,"rectangle, 4 sides, 4 angles",5,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_verbal_complexity/analysis/../data/raw_data/p0ncqkt89ht_1772138743276.csv
NA,17913,survey-text,17,2.0.0,387402,p0ncqkt89ht,NA,NA,NA,"{""image_description"":""combination of triangles, squares ""}",NA,NA,NA,NA,stimuli/57.jpg,medium,NA,"combination of triangles, squares",4,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_verbal_complexity/analysis/../data/raw_data/p0ncqkt89ht_1772138743276.csv
NA,22012,survey-text,18,2.0.0,409429,p0ncqkt89ht,NA,NA,NA,"{""image_description"":""9 sides""}",NA,NA,NA,NA,stimuli/33.jpg,easy,NA,9 sides,2,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_verbal_complexity/analysis/../data/raw_data/p0ncqkt89ht_1772138743276.csv
NA,19216,survey-text,19,2.0.0,428662,p0ncqkt89ht,NA,NA,NA,"{""image_description"":""lots of sides, one part looks like a crab claw ""}",NA,NA,NA,NA,stimuli/113.jpg,hard,NA,"lots of sides, one part looks like a crab claw",10,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_verbal_complexity/analysis/../data/raw_data/p0ncqkt89ht_1772138743276.csv
NA,50526,survey-text,20,2.0.0,479205,p0ncqkt89ht,NA,NA,NA,"{""image_description"":""rounded edges in some parts, also pointed edges, looks like a few triangles and squares were cut out of the shape""}",NA,NA,NA,NA,stimuli/145.jpg,hard,NA,"rounded edges in some parts, also pointed edges, looks like a few triangles and squares were cut out of the shape",21,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_verbal_complexity/analysis/../data/raw_data/p0ncqkt89ht_1772138743276.csv
NA,28095,survey-text,21,2.0.0,507320,p0ncqkt89ht,NA,NA,NA,"{""image_description"":""looks like a lot of triangles stacked on each other""}",NA,NA,NA,NA,stimuli/81.jpg,medium,NA,looks like a lot of triangles stacked on each other,10,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_verbal_complexity/analysis/../data/raw_data/p0ncqkt89ht_1772138743276.csv
NA,18020,survey-text,22,2.0.0,525358,p0ncqkt89ht,NA,NA,NA,"{""image_description"":""looks like a swan neck and head, triangles, and squares""}",NA,NA,NA,NA,stimuli/65.jpg,medium,NA,"looks like a swan neck and head, triangles, and squares",10,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_verbal_complexity/analysis/../data/raw_data/p0ncqkt89ht_1772138743276.csv
